term,estimate,std.error,statistic,p.value,sig
(Intercept),-11527726608.7836,2283440044.8686,-5.048,5.35e-7,***
in_spotify_playlists,59600.1578,1544.0008,38.601,2.2899999999999985e-196,***
danceability_pct,-1869977.8845,2694632.9616,-0.694,0.488,
energy_pct,-3060475.9069,2728431.5678,-1.122,0.262,
valence_pct,520076.7069,554445.0437,0.938,0.348,
artist_count,-32526796.0512,12812075.1588,-2.539,0.0113,*
released_year,5950941.9352,1135109.5638,5.243,1.95e-7,***
danceability_pct:energy_pct,15376.2661,42329.0845,0.363,0.716,
